source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
CORUM,CORUM:2434,ITGA1-ITGB1-COL6A3 complex,0.04993169344335535,True,ITGA1-ITGB1-COL6A3 complex,2,1,1,3383,1.0,0.5,query_1,['CORUM:0000000']
CORUM,CORUM:2435,ITGA1-ITGB1-PTPN2 complex,0.04993169344335535,True,ITGA1-ITGB1-PTPN2 complex,2,1,1,3383,1.0,0.5,query_1,['CORUM:0000000']
